FID,ID_Originak,Team,ID_Transek,ID_Titik,Filename,Latitude,Longitude,Lokasi,URL,Class_1,Class_2,Cluster
20,20,A,T1,D1T1-20,D1T1 (20).JPG,-0.619458333,120.0651917,Tandaigi,https://lh3.googleusercontent.com/d/1gEEiFi8zguTyag3AgndTIu9LZd9mKx_T,Terumbu karang,Lamun,7
21,21,A,T1,D1T1-21,D1T1 (21).JPG,-0.619371667,120.06521,Tandaigi,https://lh3.googleusercontent.com/d/1xAk75TpNpt350ecz6cSM12VjKTD5Zhva,Terumbu karang,Lamun,7
22,22,A,T1,D1T1-22,D1T1 (22).JPG,-0.619266667,120.0652783,Tandaigi,https://lh3.googleusercontent.com/d/1lZb2GZUqypfEMrxfKuv8IZTN3ElYA10H,Terumbu karang,Lamun,7
23,23,A,T1,D1T1-23,D1T1 (23).JPG,-0.619223273,120.0653583,Tandaigi,https://lh3.googleusercontent.com/d/1LVVv1StJMlKUttWTStx48THHoIWpwZkm,Terumbu karang,Lamun,7
24,24,A,T1,D1T1-24,D1T1 (24).JPG,-0.619065,120.0654533,Tandaigi,https://lh3.googleusercontent.com/d/1ufvpKHkhcxjzoVkgyf0pRF-tHc9TEEoq,Terumbu karang,Lamun,7
25,25,A,T1,D1T1-25,D1T1 (25).JPG,-0.619078302,120.0655283,Tandaigi,https://lh3.googleusercontent.com/d/1jQQu3AasZ8aWxupgJ5Yb2FMWCx0ArFw7,Terumbu karang,Lamun,7
26,26,A,T2,D1T2-1,D1T2 (1).JPG,-0.606038333,120.0615083,Tandaigi,https://lh3.googleusercontent.com/d/1CMQaaJNrj5I79dc5sAxFCOuJ15mZuJeO,Padang lamun,Lamun,6
27,27,A,T2,D1T2-2,D1T2 (2).JPG,-0.60601,120.06156,Tandaigi,https://lh3.googleusercontent.com/d/13wQ79J7Dwxvkyjj2nq34tgiRbe9X547y,Padang lamun,Lamun,6
28,28,A,T2,D1T2-3,D1T2 (3).JPG,-0.606015,120.061665,Tandaigi,https://lh3.googleusercontent.com/d/1gYCSREbHR5lyCBz1g6fTJPkpUzu0f3na,Padang lamun,Lamun,6
29,29,A,T2,D1T2-4,D1T2 (4).JPG,-0.60606,120.0616633,Tandaigi,https://lh3.googleusercontent.com/d/1Vwh6iTW9ZfN0Pcrfx0hgqK5bVT1xSU-e,Padang lamun,Lamun,6
30,30,A,T2,D1T2-5,D1T2 (5).JPG,-0.606108333,120.0616967,Tandaigi,https://lh3.googleusercontent.com/d/13BESDw34CakyAxtDhfeneXSw_o7C-Kr8,Padang lamun,Lamun,6
31,31,A,T2,D1T2-6,D1T2 (6).JPG,-0.606143333,120.06172,Tandaigi,https://lh3.googleusercontent.com/d/1LErIlJk_3Ijc8HkZ3J7S6mOwbb40O65v,Padang lamun,Lamun,6
32,32,A,T2,D1T2-7,D1T2 (7).JPG,-0.606221667,120.06172,Tandaigi,https://lh3.googleusercontent.com/d/1wxPm7mQ5DP9wXQNmygoJ9y6OLrBX9gNz,Padang lamun,Padang lamun campur rumput laut,6
33,33,A,T2,D1T2-8,D1T2 (8).JPG,-0.606295,120.0617167,Tandaigi,https://lh3.googleusercontent.com/d/1lhzgME1UpiDbhH5vYGJlSpAWgWWURAUD,Padang lamun,Rumput laut,6
34,34,A,T2,D1T2-9,D1T2 (9).JPG,-0.606343333,120.0617383,Tandaigi,https://lh3.googleusercontent.com/d/1MFHq32e-D19RqyC04N5QmSwmpBxm2IaA,Padang lamun,Rumput laut,6
35,35,A,T2,D1T2-10,D1T2 (10).JPG,-0.606363333,120.0616633,Tandaigi,https://lh3.googleusercontent.com/d/1d9ATHqYTGLu00YgYduk4agIoxELW41dJ,Padang lamun,Terumbu karang kondisi baik,6
36,36,A,T2,D1T2-11,D1T2 (11).JPG,-0.60641,120.06161,Tandaigi,https://lh3.googleusercontent.com/d/1kv1yswnF5MFovfL912IcIkcuRHiArtaV,Padang lamun,Terumbu karang kondisi baik,6
37,37,A,T2,D1T2-12,D1T2 (12).JPG,-0.606461667,120.0615983,Tandaigi,https://lh3.googleusercontent.com/d/1PWh-C7dOlE4xF0NF7zMcNKlcyipEzLJs,Padang lamun,Terumbu karang kondisi baik,6
38,38,A,T2,D1T2-13,D1T2 (13).JPG,-0.606515,120.0616083,Tandaigi,https://lh3.googleusercontent.com/d/1OY8HM-7HBELcugz45PXfXYvWpdvb48HP,Padang lamun,Terumbu karang kondisi baik,6
39,39,A,T2,D1T2-14,D1T2 (14).JPG,-0.606593978,120.0616673,Tandaigi,https://lh3.googleusercontent.com/d/1ant4ozFexywo9xzN9GMDPz_gWMrBib9H,Padang lamun,Terumbu karang kondisi baik,6
40,40,A,T2,D1T2-15,D1T2 (15).JPG,-0.606615905,120.0615783,Tandaigi,https://lh3.googleusercontent.com/d/1g063tiqYlq_IQ-NxDihsBASs9qb94E11,Padang lamun,Terumbu karang kondisi baik,6
41,41,A,T2,D1T2-16,D1T2 (16).JPG,-0.606625,120.06152,Tandaigi,https://lh3.googleusercontent.com/d/1LJnzNn3UFQOrJ3V5xnNOG6x33yw3XZ-I,Padang lamun,Terumbu karang kondisi baik,6
42,42,A,T2,D1T2-17,D1T2 (17).JPG,-0.60662,120.0614933,Tandaigi,https://lh3.googleusercontent.com/d/1VwJslg9OfE0Hu20rySg2vpNtyuslxNfR,Padang lamun,Pecahan karang,6
43,43,A,T2,D1T2-18,D1T2 (18).JPG,-0.606548333,120.061485,Tandaigi,https://lh3.googleusercontent.com/d/1-Z-2Aj96c9rOAPfiPj-7bYZ57f3E_2DJ,Padang lamun,Terumbu karang kondisi baik,6
44,44,A,T2,D1T2-19,D1T2 (19).JPG,-0.606495,120.0614983,Tandaigi,https://lh3.googleusercontent.com/d/1-cpxB-M-0F6ZupRuToAHq-Wa2q0yIsVC,Padang lamun,Pecahan karang,6
45,45,A,T2,D1T2-20,D1T2 (20).JPG,-0.606455,120.0614883,Tandaigi,https://lh3.googleusercontent.com/d/1_llvQHXDCKzE21ReWea1TXQUf-RiO3Fu,Padang lamun,Substrat terbuka,6
46,46,A,T2,D1T2-21,D1T2 (21).JPG,-0.606388333,120.0614933,Tandaigi,https://lh3.googleusercontent.com/d/1AC-9rJulPzRX--rNUK3LodVpLWt5qHpQ,Padang lamun,Terumbu karang kondisi baik,6
47,47,A,T2,D1T2-22,D1T2 (22).JPG,-0.606331667,120.0615067,Tandaigi,https://lh3.googleusercontent.com/d/108GJjqjTbqn06qaBdmePSz4CLawZKZQ1,Padang lamun,Pecahan karang,6
48,48,A,T2,D1T2-23,D1T2 (23).JPG,-0.60627,120.0615033,Tandaigi,https://lh3.googleusercontent.com/d/1JBzfySGn3PXslFIJ1wOWgjuPTSR4dh9b,Padang lamun,Terumbu karang kondisi baik,6
49,49,A,T2,D1T2-24,D1T2 (24).JPG,-0.606211667,120.0615033,Tandaigi,https://lh3.googleusercontent.com/d/12ysrQppbWxf4zfB_6omcagfpMY6Qf0Af,Padang lamun,Terumbu karang kondisi baik,6
50,50,A,T2,D1T2-25,D1T2 (25).JPG,-0.606156667,120.0615167,Tandaigi,https://lh3.googleusercontent.com/d/1SgK6wZoOp0lNgbqwGWnGv26ppzrF8u3h,Padang lamun,Terumbu karang kondisi baik,6
51,51,A,T2,D1T2-26,D1T2 (26).JPG,-0.606095,120.0615417,Tandaigi,https://lh3.googleusercontent.com/d/1FdBdaUiKp9q0hBSJfAAeu1v_ViXJMiNn,Padang lamun,Terumbu karang kondisi baik,6
52,52,A,T3,D1T3-1,D1T3 (1).JPG,-0.605908333,120.0617733,Tandaigi,https://lh3.googleusercontent.com/d/1fTeM3KdH9irDYpTO3VI8UG8GL3xKGLYZ,Makroalga,Terumbu karang kondisi baik,6
53,53,A,T3,D1T3-2,D1T3 (2).JPG,-0.60596,120.061885,Tandaigi,https://lh3.googleusercontent.com/d/1Ls-tlgd_DV8F0dXXe-ZPmts-uiwhhQLi,Padang lamun,Terumbu karang kondisi baik,6
54,54,A,T3,D1T3-3,D1T3 (3).JPG,-0.605958333,120.0619933,Tandaigi,https://lh3.googleusercontent.com/d/1NNAIB_xzFWk6zn-5tWkEBak5d1dJNgO7,Padang lamun,Terumbu karang kondisi baik,6
55,55,A,T3,D1T3-4,D1T3 (4).JPG,-0.605931667,120.062085,Tandaigi,https://lh3.googleusercontent.com/d/1MBcmGEghk2YurtpKmRASZmsYXaQaENps,Padang lamun,Terumbu karang kondisi baik,6
56,56,A,T3,D1T3-5,D1T3 (5).JPG,-0.605938333,120.0621483,Tandaigi,https://lh3.googleusercontent.com/d/1LxtC0XlgV3CsOWn_2_JbsR0uqL0APL2A,Padang lamun,Terumbu karang kondisi baik,6
57,57,A,T3,D1T3-6,D1T3 (6).JPG,-0.605916667,120.0624633,Tandaigi,https://lh3.googleusercontent.com/d/1mnHD8ZS4F2O_mKWXIG839zd_QGucUEQN,Substrat terbuka,Terumbu karang kondisi baik,6
58,58,A,T3,D1T3-7,D1T3 (7).JPG,-0.605911667,120.0625683,Tandaigi,https://lh3.googleusercontent.com/d/1QA2iqMDENTW8UwIzsu7MtNQBZBJc-vMf,Terumbu karang,Terumbu karang kondisi baik,6
59,59,A,T3,D1T3-8,D1T3 (8).JPG,-0.6059,120.0626417,Tandaigi,https://lh3.googleusercontent.com/d/1XTC9t7M38HMtL3js2swLhsndMUIr0wMN,Terumbu karang,Terumbu karang kondisi baik,6
60,60,A,T3,D1T3-9,D1T3 (9).JPG,-0.605893333,120.0627467,Tandaigi,https://lh3.googleusercontent.com/d/1LSzuLOkcPPayBvTMFTZjNBZymgDlBxkX,Terumbu karang,Terumbu karang kondisi baik,6
61,61,A,T3,D1T3-10,D1T3 (10).JPG,-0.605928333,120.0627883,Tandaigi,https://lh3.googleusercontent.com/d/1DSTBAVMYkUr0pZZZ91GZgQ3NEC3g1TFX,Terumbu karang,Terumbu karang kondisi baik,6
62,62,A,T3,D1T3-11,D1T3 (11).JPG,-0.6059218,120.0628601,Tandaigi,https://lh3.googleusercontent.com/d/1GplaK2IlcoEUZtR634NQ0Nh_gIqMuq44,Terumbu karang,Terumbu karang kondisi baik,6
63,63,A,T4,D2T4-1,D2T1 (1).JPG,-0.600858333,120.0613683,Tandaigi,https://lh3.googleusercontent.com/d/16UpzEhO09N-J6q8TzKGT8gAUSX-VnYqK,Terumbu karang,Terumbu karang kondisi baik,6
64,64,A,T4,D2T4-2,D2T1 (2).JPG,-0.600885,120.0613267,Tandaigi,https://lh3.googleusercontent.com/d/1B6XDl2Xnuwf2bzHdb6eNc2zuwfIhEPos,Terumbu karang,Terumbu karang kondisi baik,6
65,65,A,T4,D2T4-3,D2T1 (3).JPG,-0.60094,120.0612333,Tandaigi,https://lh3.googleusercontent.com/d/1vO7C5vnu3v7X9SXT_U0Op_AGyKNh0WWx,Substrat terbuka,Terumbu karang kondisi baik,6
66,66,A,T4,D2T4-4,D2T1 (4).JPG,-0.600916667,120.061195,Tandaigi,https://lh3.googleusercontent.com/d/1hDFHbMuDuugFRcKJw0i_oGZmxBddZlOe,Padang lamun,Terumbu karang kondisi baik,6
67,67,A,T4,D2T4-5,D2T1 (5).JPG,-0.60091,120.0611367,Tandaigi,https://lh3.googleusercontent.com/d/17K8MScTJCthcWXTQA1chaRzcjCSSXgiA,Substrat terbuka,Terumbu karang kondisi baik,6
68,68,A,T4,D2T4-6,D2T1 (6).JPG,-0.600891667,120.0610683,Tandaigi,https://lh3.googleusercontent.com/d/1gbhVVbArJp_i8SDL_G-fDY3qNShX6iiS,Substrat terbuka,Pecahan karang,6
69,69,A,T4,D2T4-7,D2T1 (7).JPG,-0.600923333,120.0610351,Tandaigi,https://lh3.googleusercontent.com/d/1wePrMwtT8uazB-A6IBN7WPFU4o1M54Yl,Substrat terbuka,Pecahan karang,6
70,70,A,T4,D2T4-8,D2T1 (8).JPG,-0.600953333,120.060965,Tandaigi,https://lh3.googleusercontent.com/d/1yoSjyDtzOkWVoVGx-58QBfrvBJPEQoUu,Padang lamun,Pecahan karang,6
71,71,A,T4,D2T4-9,D2T1 (9).JPG,-0.600968333,120.0609017,Tandaigi,https://lh3.googleusercontent.com/d/13cKHfJ947rCxIun8y5qByCXHsajVeTnG,Padang lamun,Pecahan karang,6
72,72,A,T4,D2T4-10,D2T1 (10).JPG,-0.600946942,120.0608733,Tandaigi,https://lh3.googleusercontent.com/d/1xaTrW4-Pa4sm7ymQVEvjYQnCywa5CNd2,Substrat terbuka,Bleaching,6
73,73,A,T4,D2T4-11,D2T1 (11).JPG,-0.600941667,120.0608367,Tandaigi,https://lh3.googleusercontent.com/d/1P9GRjtP7RYfdh70skroNUOrl28p-RE0d,Substrat terbuka,Bleaching,6
74,74,A,T4,D2T4-12,D2T1 (12).JPG,-0.600951667,120.0608017,Tandaigi,https://lh3.googleusercontent.com/d/1vI4t2aER51rTYvMKfVNuFjOKY2L0osG6,Padang lamun,Bleaching,6
75,75,A,T4,D2T4-13,D2T1 (13).JPG,-0.60089,120.0608083,Tandaigi,https://lh3.googleusercontent.com/d/1rFLnXnQOsfWkPKgj2u-0n8H4DYAaWk1n,Padang lamun,Terumbu karang kondisi baik,6
76,76,A,T4,D2T4-14,D2T1 (14).JPG,-0.600875,120.0608067,Tandaigi,https://lh3.googleusercontent.com/d/13SiO6t53_odgnn8NUmsmZQ99eN8gkPDP,Makroalga,Terumbu karang kondisi baik,6
77,77,A,T4,D2T4-15,D2T1 (15).JPG,-0.600788333,120.060825,Tandaigi,https://lh3.googleusercontent.com/d/1q66rONN0Uspfe8y6tLJdkra_og_5sa51,Substrat terbuka,Terumbu karang kondisi baik,6
78,78,A,T4,D2T4-16,D2T1 (16).JPG,-0.600683333,120.0608867,Tandaigi,https://lh3.googleusercontent.com/d/1H8zzWdqAXH_H-lLSO61_xl2xJ4XIOKYi,Padang lamun,Terumbu karang kondisi baik,6
79,79,A,T4,D2T4-17,D2T1 (17).JPG,-0.600665,120.0608667,Tandaigi,https://lh3.googleusercontent.com/d/1HkezaI9tRcTJtP-8iZKzS05NXcuS6WDW,Terumbu karang,Terumbu karang kondisi baik,6
80,80,A,T4,D2T4-18,D2T1 (18).JPG,-0.600625,120.06085,Tandaigi,https://lh3.googleusercontent.com/d/1QiyXiabj3JxRycudZSOMdOpBefefq4RF,Terumbu karang,Bleaching,6
81,81,A,T4,D2T4-19,D2T1 (19).JPG,-0.600545,120.060835,Tandaigi,https://lh3.googleusercontent.com/d/19OefWOyZ5qshFr75UVKsoas0-RBI73bB,Terumbu karang,Terumbu karang kondisi baik,6
82,82,A,T4,D2T4-20,D2T1 (20).JPG,-0.60044,120.060945,Tandaigi,https://lh3.googleusercontent.com/d/1wBdlqnV0Vc6KgWZ4T8wLU-y0hXjjsw4F,Terumbu karang,Bleaching,6
83,83,A,T4,D2T4-21,D2T1 (21).JPG,-0.600373333,120.0609417,Tandaigi,https://lh3.googleusercontent.com/d/1Oh1sp1wrt_l3NM-ZP9ihI80iCmowUR44,Terumbu karang,Terumbu karang kondisi baik,6
84,84,A,T4,D2T4-22,D2T1 (22).JPG,-0.600425,120.0610167,Tandaigi,https://lh3.googleusercontent.com/d/1jjwvn0RLYFMKBVOzAZ8rqTSh18uu0uae,Terumbu karang,Terumbu karang kondisi baik,6
85,85,A,T4,D2T4-23,D2T1 (23).JPG,-0.600505,120.0610483,Tandaigi,https://lh3.googleusercontent.com/d/1c4YhVkEOnC8xSAkE7WHzbY4fmb_cm01T,Terumbu karang,Terumbu karang kondisi baik,6
86,86,A,T4,D2T4-24,D2T1 (24).JPG,-0.60059,120.0610917,Tandaigi,https://lh3.googleusercontent.com/d/1fFaFh_hGgGwMY29TZ0_xri6NCEb7cIck,Terumbu karang,Terumbu karang kondisi baik,6
87,87,A,T4,D2T4-25,D2T1 (25).JPG,-0.60073,120.0612783,Tandaigi,https://lh3.googleusercontent.com/d/12md-4fG7kjSZ9-4ES0slqomzi0siTQhc,Terumbu karang,Terumbu karang kondisi baik,6
88,88,A,T4,D2T4-26,D2T1 (26).JPG,-0.600831316,120.0613492,Tandaigi,https://lh3.googleusercontent.com/d/1Wno9FrzyE92JTyx5Lf17nT5rWYbCFaUL,Terumbu karang,Terumbu karang kondisi baik,6
89,89,A,T5,D2T5-1,D2T2 (1).JPG,-0.625105,120.0621321,Tandaigi,https://lh3.googleusercontent.com/d/1IKl036uTTeAQkr3jLfXVxR_TQa0yCu0B,Terumbu karang,Terumbu karang kondisi baik,7
90,90,A,T5,D2T5-2,D2T2 (2).JPG,-0.625168333,120.0620683,Tandaigi,https://lh3.googleusercontent.com/d/1HY_smm6CoPtWiajdsm1V7CUUpMQA1qOn,Terumbu karang,Terumbu karang kondisi baik,7
91,91,A,T5,D2T5-3,D2T2 (3).JPG,-0.625276667,120.0620617,Tandaigi,https://lh3.googleusercontent.com/d/1F4JkXl7ijBD_pPaxp_3j9Ym7Gdo5IxPJ,Terumbu karang,Terumbu karang kondisi baik,7
92,92,A,T5,D2T5-4,D2T2 (4).JPG,-0.625386667,120.0620317,Tandaigi,https://lh3.googleusercontent.com/d/1toK_Klpd0OnrOVg-m7j2lHH40Y3uXBgn,Terumbu karang,Terumbu karang kondisi baik,7
93,93,A,T5,D2T5-5,D2T2 (5).JPG,-0.625503333,120.061945,Tandaigi,https://lh3.googleusercontent.com/d/1cvbqtxrLd8TnVDeXkkJYhybQ5IR-P5A0,Terumbu karang,Bleaching,7
94,94,A,T5,D2T5-6,D2T2 (6).JPG,-0.625671667,120.061925,Tandaigi,https://lh3.googleusercontent.com/d/1qDMqbGFjsWvJFlnrstbDJjbo274xJ1W8,Terumbu karang,Bleaching,7
95,95,A,T5,D2T5-7,D2T2 (7).JPG,-0.625783333,120.0618583,Tandaigi,https://lh3.googleusercontent.com/d/1xeHAg-KOlI_6sgiKF87Wl9IdpbXxxA45,Terumbu karang,Terumbu karang kondisi baik,7
96,96,A,T5,D2T5-8,D2T2 (8).JPG,-0.625905,120.0618233,Tandaigi,https://lh3.googleusercontent.com/d/1Xu64NZqy6mVIGODe390bYnUTWMfh2c5h,Substrat terbuka,Terumbu karang kondisi baik,7
97,97,A,T5,D2T5-9,D2T2 (9).JPG,-0.626023333,120.0617783,Tandaigi,https://lh3.googleusercontent.com/d/1lpNNBTrIBTo03L2U7m-pNqXbovzizYec,Substrat terbuka,Terumbu karang kondisi baik,7
98,98,A,T5,D2T5-10,D2T2 (10).JPG,-0.626165,120.0617317,Tandaigi,https://lh3.googleusercontent.com/d/15TXt5yVWcbiC-4CCWGQvcigSCxrrTPv0,Terumbu karang,Bleaching,7
99,99,A,T5,D2T5-11,D2T2 (11).JPG,-0.626348333,120.0616783,Tandaigi,https://lh3.googleusercontent.com/d/1uUL_LCk6-AZsoBkkhz1raZVn8CqlomBj,Terumbu karang,Terumbu karang kondisi baik,7
100,100,A,T5,D2T5-12,D2T2 (12).JPG,-0.626401667,120.06169,Tandaigi,https://lh3.googleusercontent.com/d/1DcabYU1XsSptiROwokTm0LUWXAmCoDeo,Terumbu karang,Terumbu karang kondisi baik,7
101,101,A,T5,D2T5-13,D2T2 (13).JPG,-0.626553333,120.0615683,Tandaigi,https://lh3.googleusercontent.com/d/1gmN2kMWc30tKJlLz2pXriMjh8h1n7D5l,Terumbu karang,Terumbu karang kondisi baik,7
102,102,A,T5,D2T5-14,D2T2 (14).JPG,-0.626487666,120.0614493,Tandaigi,https://lh3.googleusercontent.com/d/1FSDdaBHoy1P4BOSvigl51JmZDNeJUdDX,Terumbu karang,Terumbu karang kondisi baik,7
103,103,A,T5,D2T5-15,D2T2 (15).JPG,-0.62640189,120.0612179,Tandaigi,https://lh3.googleusercontent.com/d/1R1MC1f9aY9ZehSJIyuB-eJh5zVZoOp2G,Terumbu karang,Terumbu karang kondisi baik,7
104,104,A,T5,D2T5-16,D2T2 (16).JPG,-0.626393333,120.0611583,Tandaigi,https://lh3.googleusercontent.com/d/1BLfAtKiDRZ1ykiE4srxnaSclaOIQZCNa,Makroalga,Terumbu karang kondisi baik,7
105,105,A,T5,D2T5-17,D2T2 (17).JPG,-0.626373333,120.0610817,Tandaigi,https://lh3.googleusercontent.com/d/1ALY2x_k_gYTmM6cFsmw_VnnO9smi_x63,Substrat terbuka,Terumbu karang kondisi baik,7
106,106,A,T5,D2T5-18,D2T2 (18).JPG,-0.62635,120.0609907,Tandaigi,https://lh3.googleusercontent.com/d/12YBoD2Z5IDfi415kd_pKMdDhOidqfFTs,Padang lamun,Terumbu karang kondisi baik,7
107,107,A,T5,D2T5-19,D2T2 (19).JPG,-0.626311667,120.0609417,Tandaigi,https://lh3.googleusercontent.com/d/1FcYW8ChK63tkTLdBIJE_W1R2d8sptb72,Padang lamun,Terumbu karang kondisi baik,7
108,108,A,T6,D2T6-1,D2T3 (1).JPG,-0.61972,120.06275,Tandaigi,https://lh3.googleusercontent.com/d/11yGnTu_YT5hdkR_VGuNSK8rNs0598zJA,Padang lamun,Terumbu karang kondisi baik,7
109,109,A,T6,D2T6-2,D2T3 (2).JPG,-0.619668333,120.0627717,Tandaigi,https://lh3.googleusercontent.com/d/1KanPywSxs8E5SE9to0bg9-xgPco0oPd-,Padang lamun,Terumbu karang kondisi baik,7
110,110,A,T6,D2T6-3,D2T3 (3).JPG,-0.619558333,120.0628083,Tandaigi,https://lh3.googleusercontent.com/d/1wDtNM0KAv-2nApiBYAzX7XKgoeZJ4dVa,Padang lamun,Terumbu karang kondisi baik,7
111,111,A,T6,D2T6-4,D2T3 (4).JPG,-0.619458333,120.06282,Tandaigi,https://lh3.googleusercontent.com/d/1EvZsYo8Lo2VVAVfISNb6199LGbHU8h11,Padang lamun,Terumbu karang kondisi baik,7
112,112,A,T6,D2T6-5,D2T3 (5).JPG,-0.619368333,120.0628083,Tandaigi,https://lh3.googleusercontent.com/d/1bFd9SxF6zWpbtnbTtEtxqz7Mn8zSLg-V,Padang lamun,Terumbu karang kondisi baik,7
113,113,A,T6,D2T6-6,D2T3 (6).JPG,-0.61928,120.062825,Tandaigi,https://lh3.googleusercontent.com/d/1yPWusMHF9yOe-Qu0yLnxodANczZbklBQ,Padang lamun,Terumbu karang kondisi baik,7
114,114,A,T6,D2T6-7,D2T3 (7).JPG,-0.619168333,120.06287,Tandaigi,https://lh3.googleusercontent.com/d/1TbrXuK7zFGuzglAJJSTkxu0Dfgs0lVYr,Padang lamun,Terumbu karang kondisi baik,7
115,115,A,T6,D2T6-8,D2T3 (8).JPG,-0.619101667,120.0628733,Tandaigi,https://lh3.googleusercontent.com/d/1Adzb_7Z3076jxzrjU6p515Ztg2sAqurE,Padang lamun,Terumbu karang kondisi baik,7
116,116,A,T6,D2T6-9,D2T3 (9).JPG,-0.618981887,120.062865,Tandaigi,https://lh3.googleusercontent.com/d/18XP8JZeBaNial8QtwWAGxagEXZu3OZqH,Padang lamun,Bleaching,7
117,117,A,T6,D2T6-10,D2T3 (10).JPG,-0.618841667,120.0628733,Tandaigi,https://lh3.googleusercontent.com/d/15Sq-LC20WFphckOf5PcmKRr-Orq6b-WP,Padang lamun,Terumbu karang kondisi baik,7
